id,input_text,labels
kzp_train_0097,шын жыласа соқыр көзден жас шығады,O COMMA O O O PERIOD
kzp_train_0098,білмеген жердің ой-шұқыры көп көрінген таудың алыстығы жоқ,O O O COMMA O O O PERIOD
kzp_train_0099,қатыны жалқау байы самарқау үйден қонақ қашады,O COMMA O O O O PERIOD
kzp_train_0100,бесік баласы бес түлейді ел жаманы кеш түлейді,O O O COMMA O O O PERIOD
kzp_train_0101,күзетшінің жаманы алдырған соң өкінер,O O O O PERIOD
kzp_train_0102,өгізді өрге айдағанның өмірі өксиді,O O O O PERIOD
kzp_train_0103,ет жегеннің бәрі қонақ енші алғанның бәрі бөрік,O O O COMMA O O O PERIOD
kzp_train_0104,көзінше мақтама сыртынан даттама,O COMMA O PERIOD
kzp_train_0105,етігің тар болса дүниенің кеңдігінен не пайда,O O COMMA O O O PERIOD
kzp_train_0106,жаман өзен өткел бермес,O O O PERIOD
kzp_train_0107,жігіттің түсін айтпа ісін айт,O O COMMA O PERIOD
kzp_train_0108,тесік моншақ жерде қалмас,O O O PERIOD
kzp_train_0109,жақсыдан айтқан ғибрат өлгеніңше ұмытылмайды,O O O O PERIOD
kzp_train_0110,байды құдай атқаны жабағы жүнін сатқаны,O O O O O PERIOD
kzp_train_0111,бір байдың жұртына екі тышқан таласыпты,O O O O O PERIOD
kzp_train_0112,қырықта қылау түсер сақал-мұртқа қырау түсер,O O COMMA O O PERIOD
kzp_train_0113,жер дауынан жесір дауы қиын,O O O O PERIOD
kzp_train_0114,жақсымен жолдас болсаң нәсібі жұғар,O O COMMA O PERIOD
kzp_train_0115,ашушаңның анты болмайды сабырсызға дәулет қонбайды,O O COMMA O O PERIOD
kzp_train_0116,туысы жаман туғанын жамандайды,O O O PERIOD
kzp_train_0117,жақсының өзі өлгенмен сөзі өлмейді,O O COMMA O PERIOD
kzp_train_0118,шолғыншың шалдырмаса жауға алдырмайсың,O COMMA O PERIOD
kzp_train_0119,сиыр мүйізінен табады адам тілден табады,O O COMMA O O PERIOD
kzp_train_0120,махаң ақаң дейді ақаң махаң дейді,O O COMMA O O PERIOD
kzp_train_0121,өкпе бер бауыр бер сыбағамды тәуір бер,O COMMA O COMMA O O PERIOD
kzp_train_0122,бір күн қарны ашқаннан қырық күн ақыл сұрама,O O O O O O O PERIOD
kzp_train_0123,ашқа қазан астырма тоңғанға от жақтырма,O O COMMA O O PERIOD
kzp_train_0124,жалғыз түйе бақырауық жалғыз бала жылауық,O O COMMA O O PERIOD
kzp_train_0125,астыңдағы атыңа сенбе қойныңдағы қатыныңа сенбе,O O COMMA O O PERIOD
kzp_train_0126,ат қартайса сүріншек болар ер қартайса жаңылшақ болар,O COMMA O COMMA O COMMA O PERIOD
kzp_train_0127,күресерге дәрмен жоқ іш қазандай қайнайды,O O COMMA O O PERIOD
kzp_train_0128,көп жүрген жерде береке жүреді,O O O O PERIOD
kzp_train_0129,атан алты асаса тояды,O O COMMA PERIOD
kzp_train_0130,еңбегі еш тұзы сор,O COMMA O PERIOD
kzp_train_0131,ай толса қолмен көрсетпес болар,O COMMA O O PERIOD
kzp_train_0132,қатын ер қасында қараша хан қасында,O O COMMA O O PERIOD
kzp_train_0133,елінде жақсы болса пайдасы тиер содырлы тентек болса найзасы тиер,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0134,біреуге мал қайғы біреуге жан қайғы,O O COMMA O O PERIOD
kzp_train_0135,татулық байлық тыныштық бақыт,O COMMA O PERIOD
kzp_train_0136,таудың басын көр де түбіне барма,O O O COMMA O PERIOD
kzp_train_0137,саздау жердің ағашы сабырсыз ердің сазасы,O O O O O PERIOD
kzp_train_0138,құрастырып айтса құлдыкі жөн біріктіріп айтса бидікі жөн,O COMMA O COMMA O COMMA O PERIOD
kzp_train_0139,ел айырылса көбіне бар жол айырылса кеңіне түс,O COMMA O COMMA O COMMA O PERIOD
kzp_train_0140,шыбын да аңқаудың аузын аңдиды,O O O O PERIOD
kzp_train_0141,кей ақымақ дұшпанымен дос болады досымен қас болады,O O O O COMMA O O PERIOD
kzp_train_0142,керсеңді алдыңа қойдым кездікті қолыңа бердім,O O COMMA O O PERIOD
kzp_train_0143,қостың кішісі болғанша иттің күшігі бол,O O COMMA O O PERIOD
kzp_train_0144,қанша тұлпар десе де мініп болмас жалсызды,O O O COMMA O O PERIOD
kzp_train_0145,өзім ойласам тайлы құлынды бие тиеді,O O COMMA O O PERIOD
kzp_train_0146,тұмаудың арты құрт болады тұманның арты жұт болады,O O O COMMA O O O PERIOD
kzp_train_0147,сенің атың жүре тұрсын менің атым тұра тұрсын,O O O COMMA O O O PERIOD
kzp_train_0148,көшерде жұрт жаман тастарда қатын жаман,O O COMMA O O PERIOD
kzp_train_0149,қарыздан да қатын ал қатының қалар жаныңда,O O O COMMA O O PERIOD
kzp_train_0150,көппен пішкен тон кең де кем де болмайды,O O O O COMMA O O PERIOD
kzp_train_0151,ашуың келсе қолың тарт,O COMMA O PERIOD
kzp_train_0152,зекетсіздің малы арам жетесіздің дауы арам,O O COMMA O O PERIOD
kzp_train_0153,білімнен қымбат досың жоқ аурудан үлкен қасың жоқ,O O O COMMA O O O PERIOD
kzp_train_0154,аспаздың қарны асқанына тояды,O O O PERIOD
kzp_train_0155,қызмет қыл да міндет қыл,O O COMMA O PERIOD
kzp_train_0156,кеңесіп кескен қол ауырмас,O O O PERIOD
kzp_train_0157,біреудің ботасына дегені өзінің бурасына келеді,O O O O O PERIOD
kzp_train_0158,ағадан іні ақылды болса үш жасы үлкен болады,O O O COMMA O O O PERIOD
kzp_train_0159,қазаннан қақпақ кетсе иттен ұят кетеді,O O COMMA O O PERIOD
kzp_train_0160,екі жеп биге шықтым,O O O PERIOD
kzp_train_0161,құдай жүгіртпегенді бұзау жүгіртеді,O O O PERIOD
kzp_train_0162,қауғадан шошынған мал оңбас жаудан шошыған ер оңбас,O O O COMMA O O O PERIOD
kzp_train_0163,ақылы жоқ жаманға ауыл малы бұралқы,O O O O O PERIOD
kzp_train_0164,күлкі жасартады қайғы қартайтады,O COMMA O PERIOD
kzp_train_0165,бір жас үлкеннен ақыл сұра,O O O O PERIOD
kzp_train_0166,бір құмалақ бір қарын майды шірітер бір жаман мың қолды ірітер,O O O O O COMMA O O O O PERIOD
kzp_train_0167,үндемеген үйдей пәледен құтылады,O O O PERIOD
kzp_train_0168,тұз шелекке жөке қапқыш,O O O PERIOD
kzp_train_0169,мейірімділік жүректен мейірімсіздік білектен,O COMMA O PERIOD
kzp_train_0170,қойдың сүті қорғасын қойды соққан оңбасын,O O COMMA O O PERIOD
kzp_train_0171,ақылды ойланғанша тентек ісін бітірер,O COMMA O O PERIOD
kzp_train_0172,білім таппай мақтанба өнер таппай баптанба,O O COMMA O O PERIOD
kzp_train_0173,жуас түйеге әркім ие,O O O PERIOD
kzp_train_0174,ай десе аузы бар күн десе көзі бар,O COMMA O COMMA O COMMA O PERIOD
kzp_train_0175,ақылы жоқ азғана сөзге семірер,O O O O PERIOD
kzp_train_0176,cay сиырдың боғы емес,O O O PERIOD
kzp_train_0177,қақпай жатып қоңырауың сылдырлайды,O O O PERIOD
kzp_train_0178,біреу әзіл айтса сен әділ айт,O O COMMA O O PERIOD
kzp_train_0179,ақылы жоқ сұлудан өңі жаман текті артық,O O COMMA O O O PERIOD
kzp_train_0180,әділ патша гүлстанға ұқсайды залым патша зымыстанға ұқсайды,O O O COMMA O O O PERIOD
kzp_train_0181,үйде бір күн ұрыс болса қырық күндік ырыс кетеді,O O O O COMMA O O O PERIOD
kzp_train_0182,тәуекелдің кемесі суға батпайды отқа жанбайды,O O O COMMA O PERIOD
kzp_train_0183,сор сораңнан шығады өтірік арамнан шығады,O O COMMA O O PERIOD
kzp_train_0184,көз көзге түссе мейірі жүзге түседі,O O COMMA O O PERIOD
kzp_train_0185,топ көрмеген қорғаншақ топтан озған қызғаншақ,O O COMMA O O PERIOD
kzp_train_0186,жаманнан би қойма кесім алады залымнан қарыз алма өсім алады,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0187,жаман қойшы жайлауын бір күн жейді жақсы қойшы жайлауын мың күн жейді,O O O O O COMMA O O O O O PERIOD
kzp_train_0188,не ақсағанда аларсың не қақсағанда аларсың,O O COMMA O O PERIOD
kzp_train_0189,базарға әркім барар өзінің керегін алар,O O COMMA O O PERIOD
kzp_train_0190,жасықтың мыңынан асылдың бірі артық,O COMMA O O PERIOD
kzp_train_0191,барлығына қалай уақыт табасың,O O O QUESTION
kzp_train_0192,түз шашқанға қастық қылма,O O O PERIOD
kzp_train_0193,өз білмегеніңді кісіден сұра үлкен білмесе кішіден сұра,O O O COMMA O COMMA O PERIOD
kzp_train_0194,жомарт деп айтса болар сұратпай бергенді,O O O O O PERIOD
kzp_train_0195,ит түйені балыққа неге айырбастамайды екен депті,O O O O O O PERIOD
kzp_train_0196,қазақ адасса қартына қарайды орыс адасса картасына қарайды,O COMMA O COMMA O COMMA O PERIOD
kzp_train_0197,құлын даусы құр аттікіндей шығады,O O O O PERIOD
kzp_train_0198,айрылған азады қосылған озады,O COMMA O PERIOD
kzp_train_0199,қайырлы жігітті ер десең болар жолдасы үшін жанын қиған,O O O O COMMA O O O PERIOD
kzp_train_0200,су ішкен құдығыңа түкірме,O O O PERIOD
kzp_train_0201,ақырын жүрсең алысқа кетерсің,O COMMA O PERIOD
kzp_train_0202,қыз баққаннан қысырақ баққан оңай,O O O O PERIOD
kzp_train_0203,аты жаманның арманы кетер баласы жаманның дәрмені кетер,O O O COMMA O O O PERIOD
kzp_train_0204,дегелек келді кемпір шешем қыз болды,O COMMA O O O PERIOD
kzp_train_0205,баймын деп саспа бимін деп таспа,O O COMMA O O PERIOD
kzp_train_0206,ақылды ой ойлағанша тентек ісін бітірер,O O COMMA O O PERIOD
kzp_train_0207,тіліңмен жүгірме біліммен жүгір,O COMMA O PERIOD
kzp_train_0208,арақпен құшақтастым дегенше ақылмен қоштастым де,O O COMMA O O PERIOD
kzp_train_0209,жақсы ат жанға серік,O O O PERIOD
kzp_train_0210,атына сенген мұрттай ұшады құдайына сенген құстай ұшады,O O O COMMA O O O PERIOD
kzp_train_0211,өз анаңды сыйласаң өзгенің анасына тіл тигізбе,O O COMMA O O O PERIOD
kzp_train_0212,жатқа сырыңды айтпа әркез өтірік айтпа,O O COMMA O O PERIOD
kzp_train_0213,алыс жолда жүргенде амандыққа не жетсін,O O COMMA O O PERIOD
kzp_train_0214,битке өкпелеп тоныңды отқа салма,O COMMA O O PERIOD
kzp_train_0215,қасқадан алаяқ туады қотырдан қыршаңқы туады,O O COMMA O O PERIOD
kzp_train_0216,ауыр ой адамды тұңғиыққа да батырады ерлік іске де шақырады,O O O O O COMMA O O O PERIOD
kzp_train_0217,сыпайы сырын жасырмайды пұшық мұрнын жасырмайды,O O COMMA O O PERIOD
kzp_train_0218,бай теңіз оны жей алмаған доңыз,O COMMA O O O PERIOD
kzp_train_0219,залым болма ғалым бол,O COMMA O PERIOD
kzp_train_0220,боранды күні бала құтырар желді күні ит құтырар,O O O COMMA O O O PERIOD
kzp_train_0221,батыл болмай батыр болмайсың,O COMMA O PERIOD
kzp_train_0222,батыр түсінде жау көреді балықшы түсінде ау көреді,O O O COMMA O O O PERIOD
kzp_train_0223,баланы жастан қатынды бастан,O COMMA O PERIOD
kzp_train_0224,көп түкірсе көл болар,O COMMA O PERIOD
kzp_train_0225,көп малдан айырылғанда бір малды қасқыр жейді,O O COMMA O O O PERIOD
kzp_train_0226,жақсыдан әкім қойсаң елді түзетер жаманнан әкім қойсаң елді жүдетер,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0227,кәріге құрмет жасқа міндет,O COMMA O PERIOD
kzp_train_0228,көп жүрген көмбе үстінен шығады,O O O O PERIOD
kzp_train_0229,бұлт болса күн жауар ашық болса жылынар,O COMMA O COMMA O COMMA PERIOD
kzp_train_0230,арық атқа қамшы жау жыртық үйге тамшы жау,O O O COMMA O O O PERIOD
kzp_train_0231,жерден жеті қоян тапқандай қуанды,O O O O PERIOD
kzp_train_0232,ұрыспай айырылған ұялмай қосылады,O COMMA O PERIOD
kzp_train_0233,мықтылық жұдырықта емес жылы сөзде,O O COMMA O PERIOD
kzp_train_0234,саудагерде иман жоқ арын сатады өтірікшіде иман жоқ жанын сатады,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0235,сақалға ақ түсті көңілге дақ түсті,O O COMMA O O PERIOD
kzp_train_0236,пайғамбар да күйеуін сыйлапты,O O O PERIOD
kzp_train_0237,төре айғақ болса бітім болмас төбе тайғақ болса шығып болмас,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0238,бәлені іздеп барма келсе қашпа,O O COMMA COMMA PERIOD
kzp_train_0239,жанбаса отын жаман жаға алмаса қатын жаман,COMMA O COMMA O COMMA O PERIOD
kzp_train_0240,жараған ат көзіңе қарайды,O O O PERIOD
kzp_train_0241,атдорбасын иіскемей ат тоймайды,O COMMA O PERIOD
kzp_train_0242,аз болды деп күйінбе мая болса қайтесің көп болды деп қуанба зая болса қайтесің,O O O COMMA O COMMA COMMA O O O COMMA O COMMA PERIOD
kzp_train_0243,жақсының күнде бір үйі кеңиді жаманның күнде бір үйі кемиді,O O O O COMMA O O O O PERIOD
kzp_train_0244,бермейтін нәрсе болмайды сұрауы келіссе,O O COMMA O PERIOD
kzp_train_0245,түлкінің өз терісі өзіне жау,O O O O PERIOD
kzp_train_0246,ағайьнның аты озғанша ауылдастың тайы озсын,O O COMMA O O PERIOD
kzp_train_0247,адал ұл оздырады жаман ұл тоздырады,O O COMMA O O PERIOD
kzp_train_0248,өзгеге ұл болғанша өз еліңе құл бол,O O COMMA O O O PERIOD
kzp_train_0249,адамның жүрген жері абат,O O O PERIOD
kzp_train_0250,жақсылардың үлгісі жанып тұрған шамдай,O O O O PERIOD
kzp_train_0251,тегі бір бірін-бірі теппейді тегі бөлек бірін-бірі ептейді,O O O COMMA O O O PERIOD
kzp_train_0252,жаман дос көлеңке басыңды күн шалса құтыла алмайсың басыңды бұлт шалса таба алмайсың,O O COMMA O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0253,көңілі қарау сырласынан айырылады,O O O PERIOD
kzp_train_0254,адамды арман қосады алшақты дәрмен қосады,O O COMMA O O PERIOD
kzp_train_0255,жақсы атады деп тасыма жаман атады деп жасыма,O O O COMMA O O O PERIOD
kzp_train_0256,бұл сексен көрейін деген жасым ба еді быламық ішейін деген асым ба еді,O O O O O O COMMA O O O O O QUESTION
kzp_train_0257,апамды кім алса жездем сол,O O COMMA O PERIOD
kzp_train_0258,таз басқа темір тарақ,O O O PERIOD
kzp_train_0259,ананың көңілі балада баланың көңілі далада,O O COMMA O O PERIOD
kzp_train_0260,қыс малыңды бақ жаз жеріңді шап,O O COMMA O O PERIOD
kzp_train_0261,хан қарақшы халық сарапшы,O COMMA O PERIOD
kzp_train_0262,туысы жоқ жалғызға топқа шапқан не керек,O O O O O O QUESTION
kzp_train_0263,еңбек еткеннің мұқтажы табылар,O O O PERIOD
kzp_train_0264,он үште отау иесі,O O O PERIOD
kzp_train_0265,тентек туған жерін ұмытар,O O O PERIOD
kzp_train_0266,жақсының аты жолда қалмас,O O O PERIOD
kzp_train_0267,жүрегіңді шемендейтін де дертіңді шегелейтін де дұшпан,O O COMMA O O O PERIOD
kzp_train_0268,қапияда қатын ақыл табады,O O O PERIOD
kzp_train_0269,тойға барсаң тойып бар жұмысыңды қойып бар,O COMMA O COMMA O O PERIOD
kzp_train_0270,жыртық үйдің құдайы бар,O O O PERIOD
kzp_train_0271,ақылдан жақын дос болмас ашудан жаман қас болмас,O O O COMMA O O O PERIOD
kzp_train_0272,ақылсыз адам менмен келер ақылды адам кең келер,O O O COMMA O O O PERIOD
kzp_train_0273,ата даңқымен қыз өтер мата даңқымен бөз өтер,O O O COMMA O O O PERIOD
kzp_train_0274,азы қарулы сый сатулы,O COMMA O PERIOD
kzp_train_0275,ұста бар жерде қолың тый,O O O O PERIOD
kzp_train_0276,көзі соқырдан көңілі соқыр жаман,O O O O PERIOD
kzp_train_0277,азға қанағат көпке шүкір,O COMMA O PERIOD
kzp_train_0278,жаманның өнері өкпе орынсыз өкпелер көпке,O O COMMA O O PERIOD
kzp_train_0279,көрмес түйені де көрмес,O O O PERIOD
kzp_train_0280,қорқақты қуа берсе батыр болар жараны қаси берсе қотыр болар,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0281,адам аласы ішінде хайуан аласы сыртында,O O COMMA O O PERIOD
kzp_train_0282,көңілсіз ерге қару бергенше көсеу бер,O O O COMMA O PERIOD
kzp_train_0283,абайламай түстім тереңге енді маған сай қайда,O O COMMA O O O PERIOD
kzp_train_0284,бір аштықтың бір тоқтығы бар,O O O O PERIOD
kzp_train_0285,ақ көңілді адамға біреудің сырқауы батар,O O O O O PERIOD
kzp_train_0286,жақсы ат малдан артық,O O O PERIOD
kzp_train_0287,айтпаса білмейсің ашпаса көрмейсің,COMMA COMMA COMMA PERIOD
kzp_train_0288,жақсының жақсылығын айт нұры тассын жаманның жамандығын айт құты қашсын,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0289,жаман малын қорғайды жақсы арын қорғайды,O O COMMA O O PERIOD
kzp_train_0290,ер қаруы бес қару,O O O PERIOD
kzp_train_0291,мал бітерінде кілемнің түгіндей мал кетерінде қолдың кіріндей,O O O COMMA O O O PERIOD
kzp_train_0292,бір көрген біліс екі көрген таныс,O O COMMA O O PERIOD
kzp_train_0293,ақ та болсаң ант ішпе айрандай бойға жұғады,O O O O COMMA O O PERIOD
kzp_train_0294,екі аяқтыда бажа тату төрт аяқтыда бота тату,O O O COMMA O O O PERIOD
kzp_train_0295,бір нақақты күйдіргеннен он қылмыстыны ақтаған артық,O O COMMA O O O PERIOD
kzp_train_0296,тіл тікенді де алады,O O O PERIOD
kzp_train_0297,арғымақ жүйрікпін деп мақтанба алдыңда талай өр бар,O O O COMMA O O O PERIOD
kzp_train_0298,бір жақсыға бітірер кем көңілдің сапасын,O O O O O PERIOD
kzp_train_0299,бақырауық болса да түйенің бары жақсы,O O COMMA O O PERIOD
kzp_train_0300,жүз сом ақшаң болғанша жүз жолдасың болсын,O O O COMMA O O PERIOD
kzp_train_0301,балаға торғайдың көлеңкесінен суық тиеді,O O O O PERIOD
kzp_train_0302,жақсы болса алғаның үйіңнен кісі кетпейді жаман болса алғаның тек жүргенге жетпейді,O O COMMA O O COMMA O O COMMA O O PERIOD
kzp_train_0303,күнде ұрысқанның ары жоқ күнгей беттің қары жоқ,O O O COMMA O O O PERIOD
kzp_train_0304,аштың ақылы тамағында жаяудың ақылы табанында,O O COMMA O O PERIOD
kzp_train_0305,аз күйікті ас басар,O O O PERIOD
kzp_train_0306,білім инемен құдық қазғандай,O O O PERIOD
kzp_train_0307,жолаушының жолда келе жатып аты өлсе жолаушының соры болады иттің жолы болады,O O O O O COMMA O O COMMA O O PERIOD
kzp_train_0308,ағайынның ұрысы торқаның жыртысы,O O O PERIOD
kzp_train_0309,жақсының сөзі жаннаттай жаманның сөзі міндеттей,O O COMMA O O PERIOD
kzp_train_0310,жаман айғыр жатырына шабады,O O O PERIOD
